Date,2060 rf Index (in)
6/1/14,39.2613948
7/1/14,38.91371023
8/1/14,38.58704085
9/1/14,38.31013418
10/1/14,38.04263755
11/1/14,37.71016933
12/1/14,37.34852326
1/1/15,36.95631244
2/1/15,36.53283977
3/1/15,35.94834182
4/1/15,35.34981653
5/1/15,34.72211239
6/1/15,34.10128096
7/1/15,33.51537001
8/1/15,32.93625101
9/1/15,32.38893843
10/1/15,31.85388394
11/1/15,31.37874063
12/1/15,30.96356843
1/1/16,30.61563739
2/1/16,30.32297594
3/1/16,30.06517855
4/1/16,29.80963073
5/1/16,29.53690917
6/1/16,29.24787131
7/1/16,28.97077462
8/1/16,28.66158609
9/1/16,28.38595159
10/1/16,28.09833861
11/1/16,27.83000325
12/1/16,27.52015894
1/1/17,27.27571738
2/1/17,27.07759085
3/1/17,26.88558781
4/1/17,26.76337961
5/1/17,26.75769255
6/1/17,26.77325969
7/1/17,26.78813191
8/1/17,26.81981034
9/1/17,26.86689287
10/1/17,26.896434
11/1/17,26.95472679
12/1/17,26.95875616
1/1/18,26.87614747
2/1/18,26.75662252
3/1/18,26.69501859
4/1/18,26.62052893
5/1/18,26.5489888
6/1/18,26.51731202
7/1/18,26.49960727
8/1/18,26.51050422
9/1/18,26.54945411
10/1/18,26.58614776
11/1/18,26.64310284
12/1/18,26.759013
1/1/19,26.89223237
2/1/19,27.01291477
3/1/19,27.19358865
4/1/19,27.34854109
5/1/19,27.49900694
6/1/19,27.65444133
7/1/19,27.80848037
8/1/19,27.96625588
9/1/19,28.12043389
10/1/19,28.31853658
11/1/19,28.51673124
12/1/19,28.74905191
1/1/20,29.04228786
2/1/20,29.35646271
3/1/20,29.63627192
4/1/20,29.94858837
5/1/20,30.24154137
6/1/20,30.50751522
7/1/20,30.77651343
8/1/20,31.03668955
9/1/20,31.25758398
10/1/20,31.46673273
11/1/20,31.64753303
12/1/20,31.80097388
1/1/21,31.96026215
2/1/21,32.14593373
3/1/21,32.29844269
4/1/21,32.44862214
5/1/21,32.53999721
6/1/21,32.60177165
7/1/21,32.65049383
8/1/21,32.6862679
9/1/21,32.71241558
10/1/21,32.7374431
11/1/21,32.75197665
