Date,2060 rf Index (in)
6/1/14,37.31486946
7/1/14,36.96274469
8/1/14,36.63185438
9/1/14,36.35094212
10/1/14,36.0796533
11/1/14,35.74360644
12/1/14,35.3785941
1/1/15,34.98322599
2/1/15,34.55679789
3/1/15,33.96953939
4/1/15,33.36844275
5/1/15,32.73835182
6/1/15,32.11531363
7/1/15,31.52737063
8/1/15,30.94639083
9/1/15,30.39738529
10/1/15,29.86080229
11/1/15,29.38429241
12/1/15,28.96791392
1/1/16,28.61893433
2/1/16,28.32537954
3/1/16,28.06684142
4/1/16,27.81070288
5/1/16,27.53753726
6/1/16,27.24819949
7/1/16,26.9709454
8/1/16,26.66173945
9/1/16,26.38622347
10/1/16,26.09886171
11/1/16,25.83090713
12/1/16,25.52157003
1/1/17,25.27775904
2/1/17,25.0803857
3/1/17,24.8892576
4/1/17,24.76804372
5/1/17,24.76346728
6/1/17,24.78025897
7/1/17,24.79646671
8/1/17,24.82958799
9/1/17,24.87821851
10/1/17,24.90941058
11/1/17,24.96945448
12/1/17,24.97533176
1/1/18,24.89466514
2/1/18,24.77717443
3/1/18,24.71769435
4/1/18,24.64541561
5/1/18,24.5761716
6/1/18,24.54687432
7/1/18,24.53163058
8/1/18,24.54506825
9/1/18,24.58663677
10/1/18,24.62602405
11/1/18,24.68574435
12/1/18,24.804488
1/1/19,24.94060653
2/1/19,25.06425121
3/1/19,25.24794856
4/1/19,25.40598376
5/1/19,25.55958983
6/1/19,25.71822008
7/1/19,25.87550992
8/1/19,26.03659042
9/1/19,26.19412585
10/1/19,26.39563662
11/1/19,26.59728831
12/1/19,26.83311377
1/1/20,27.12990112
2/1/20,27.44767232
3/1/20,27.73112122
4/1/20,28.04711914
5/1/20,28.34379385
6/1/20,28.61352816
7/1/20,28.8863241
8/1/20,29.1503338
9/1/20,29.37509626
10/1/20,29.58814613
11/1/20,29.77287977
12/1/20,29.93028535
1/1/21,30.09356883
2/1/21,30.28326525
3/1/21,30.43982739
4/1/21,30.59408754
5/1/21,30.68956999
6/1/21,30.75547725
7/1/21,30.80835651
8/1/21,30.84831074
9/1/21,30.87866051
10/1/21,30.90791096
11/1/21,30.92668716
12/1/21,30.93114491
1/1/22,30.92969781
2/1/22,30.8914602
3/1/22,30.81426474
4/1/22,30.7009703
5/1/22,30.62075733
6/1/22,30.54054642
7/1/22,30.43837589
8/1/22,30.32492246
9/1/22,30.20950551
10/1/22,30.10495334
11/1/22,30.00768561
12/1/22,29.92127992
1/1/23,29.83393747
2/1/23,29.73869447
3/1/23,29.6962375
4/1/23,29.66552124
5/1/23,29.66326553
6/1/23,29.69521692
7/1/23,29.73764785
8/1/23,29.7807677
9/1/23,29.83255517
10/1/23,29.87226598
11/1/23,29.92815178
12/1/23,30.01039716
1/1/24,30.12445043
2/1/24,30.30996239
3/1/24,30.53139042
4/1/24,30.79281504
5/1/24,31.06041384
6/1/24,31.34200215
7/1/24,31.64879914
8/1/24,31.97428608
9/1/24,32.30524267
10/1/24,32.64155159
11/1/24,33.01008004
12/1/24,33.40279058
1/1/25,33.82024101
2/1/25,34.27189391
3/1/25,34.73042536
4/1/25,35.20015307
5/1/25,35.67893927
6/1/25,36.14821204
7/1/25,36.61628327
8/1/25,37.08601611
9/1/25,37.54530081
10/1/25,37.99357921
11/1/25,38.44468713
12/1/25,38.90697981
1/1/26,39.37317318
2/1/26,39.83593788
3/1/26,40.30797839
4/1/26,40.76995877
5/1/26,41.22127668
6/1/26,41.66214502
7/1/26,42.09277205
8/1/26,42.51336154
9/1/26,42.92411286
10/1/26,43.32522107
11/1/26,43.71687703
12/1/26,44.0992675
1/1/27,44.47257524
2/1/27,44.83697923
3/1/27,45.19265489
4/1/27,45.53977414
5/1/27,45.87850552
6/1/27,46.20901421
7/1/27,46.53146213
8/1/27,46.84600798
9/1/27,47.15280735
10/1/27,47.45201275
11/1/27,47.74377369
12/1/27,48.02823673
1/1/28,48.30554556
2/1/28,48.57584105
3/1/28,48.83926129
4/1/28,49.09594168
5/1/28,49.34601497
6/1/28,49.58961131
7/1/28,49.82685833
8/1/28,50.05788113
9/1/28,50.28280241
10/1/28,50.50174247
11/1/28,50.71481926
12/1/28,50.92214845
1/1/29,51.12384347
2/1/29,51.32001555
3/1/29,51.51077376
4/1/29,51.69622505
5/1/29,51.87647433
6/1/29,52.05162447
7/1/29,52.22177635
8/1/29,52.38702891
9/1/29,52.5474792
10/1/29,52.70322238
11/1/29,52.85435179
12/1/29,53.00095899
1/1/30,53.14313377
2/1/30,53.2809642
3/1/30,53.41453666
4/1/30,53.54393589
5/1/30,53.66924501
6/1/30,53.79054553
7/1/30,53.90791743
8/1/30,54.02143914
9/1/30,54.13118763
10/1/30,54.23723837
11/1/30,54.33966541
12/1/30,54.4385414
1/1/31,54.53393758
2/1/31,54.62592387
3/1/31,54.71456884
