Date,2060 rf Index (in)
\,37.5200604
7/1/14,37.17663182
8/1/14,36.85448548
9/1/14,36.58236206
10/1/14,36.31990306
11/1/14,35.99272211
12/1/14,35.63660763
1/1/15,35.25016648
2/1/15,34.83269433
3/1/15,34.25442066
4/1/15,33.66233678
5/1/15,33.04128483
6/1/15,32.42731017
7/1/15,31.84845435
8/1/15,31.27658324
9/1/15,30.73670578
10/1/15,30.20926824
11/1/15,29.74191853
12/1/15,29.33471176
1/1/16,28.99491313
2/1/16,28.71054627
3/1/16,28.46120074
4/1/16,28.21425722
5/1/16,27.95028758
6/1/16,27.67014477
7/1/16,27.40208208
8/1/16,27.10206215
9/1/16,26.83572613
10/1/16,26.55753692
11/1/16,26.29874617
12/1/16,25.99856295
1/1/17,25.76389463
2/1/17,25.57564988
3/1/17,25.39363352
4/1/17,25.28151314
5/1/17,25.28601122
6/1/17,25.31185703
7/1/17,25.33709795
8/1/17,25.37923151
9/1/17,25.43685205
10/1/17,25.47701058
11/1/17,25.54599666
12/1/17,25.56079183
1/1/18,25.48901821
2/1/18,25.38039441
3/1/18,25.32975451
4/1/18,25.26628863
5/1/18,25.20582902
6/1/18,25.18528662
7/1/18,25.17876719
8/1/18,25.20089763
9/1/18,25.25112643
10/1/18,25.2991418
11/1/18,25.36745892
12/1/18,25.49476903
1/1/19,25.63942384
2/1/19,25.77157478
3/1/19,25.96374788
4/1/19,26.13022796
5/1/19,26.29224769
6/1/19,26.45925994
7/1/19,26.6248986
8/1/19,26.79429331
9/1/19,26.96010805
10/1/19,27.16986295
11/1/19,27.37972331
12/1/19,27.62372124
1/1/20,27.92864409
2/1/20,28.25451367
3/1/20,28.54602364
4/1/20,28.87004518
5/1/20,29.1747059
6/1/20,29.45238848
7/1/20,29.73309484
8/1/20,30.00497696
9/1/20,30.23757375
10/1/20,30.45841986
11/1/20,30.6509111
12/1/20,30.81603511
1/1/21,30.98699732
2/1/21,31.18433222
3/1/21,31.34849263
4/1/21,31.51031034
5/1/21,31.6133092
6/1/21,31.68669178
7/1/21,31.74700536
8/1/21,31.79435298
9/1/21,31.83205531
10/1/21,31.86861756
11/1/21,31.89466493
12/1/21,31.90635327
1/1/22,31.9120963
2/1/22,31.88100847
3/1/22,31.81092253
4/1/22,31.70469745
5/1/22,31.63151381
6/1/22,31.5582923
7/1/22,31.46307136
8/1/22,31.35652782
9/1/22,31.24798118
10/1/22,31.15025938
11/1/22,31.05978173
12/1/22,30.9801255
1/1/23,30.8994921
2/1/23,30.8109179
3/1/23,30.77508968
4/1/23,30.7509623
5/1/23,30.75525579
6/1/23,30.79371688
7/1/23,30.8426182
8/1/23,30.89216931
9/1/23,30.95034911
10/1/23,30.99641349
11/1/23,31.0586143
12/1/23,31.14713631
1/1/24,31.26742801
2/1/24,31.4591404
3/1/24,31.68673157
4/1/24,31.95428273
5/1/24,32.22797217
6/1/24,32.5157394
7/1/24,32.82892261
8/1/24,33.16111699
9/1/24,33.49921129
10/1/24,33.84319249
11/1/24,34.22002755
12/1/24,34.62177432
1/1/25,35.04908167
2/1/25,35.51149944
3/1/25,35.98178764
4/1/25,36.46434465
5/1/25,36.95711024
6/1/25,37.44158698
7/1/25,37.9261583
8/1/25,38.41375597
9/1/25,38.89233611
10/1/25,39.36140375
11/1/25,39.8348552
12/1/25,40.32110372
1/1/26,40.81292075
2/1/26,41.30303004
3/1/26,41.80418644
4/1/26,42.29710212
5/1/26,42.78122071
6/1/26,43.25669784
7/1/26,43.72368653
8/1/26,44.18233725
9/1/26,44.63279788
10/1/26,45.07521384
11/1/26,45.50972808
12/1/26,45.93648116
1/1/27,46.35561123
2/1/27,46.76725399
3/1/27,47.17154258
4/1/27,47.5686076
5/1/27,47.95857721
6/1/27,48.34157715
7/1/27,48.71773079
8/1/27,49.08715919
9/1/27,49.44998115
10/1/27,49.80631324
11/1/27,50.15626984
12/1/27,50.49996322
1/1/28,50.83750355
2/1/28,51.16899894
3/1/28,51.49455551
4/1/28,51.81427742
5/1/28,52.12826686
6/1/28,52.43662419
7/1/28,52.73944787
8/1/28,53.03683458
9/1/28,53.3288792
10/1/28,53.61567486
11/1/28,53.89731302
12/1/28,54.17388343
1/1/29,54.44547421
2/1/29,54.71217186
