Date,2060 rf Index (in)
6/1/14,38.65867706
7/1/14,38.3056481
8/1/14,37.97366802
9/1/14,37.69148473
10/1/14,37.41874693
11/1/14,37.0810754
12/1/14,36.71426555
1/1/15,36.316931
2/1/15,35.88837285
3/1/15,35.29882591
4/1/15,34.69528713
5/1/15,34.06260461
6/1/15,33.43682954
7/1/15,32.84600875
8/1/15,32.26201386
9/1/15,31.70985946
10/1/15,31.16999733
11/1/15,30.69008119
12/1/15,30.27017205
1/1/16,29.91754045
2/1/16,29.62021524
3/1/16,29.35779133
4/1/16,29.09765464
5/1/16,28.8203817
6/1/16,28.52683026
7/1/16,28.24525858
8/1/16,27.93163388
9/1/16,27.65160132
10/1/16,27.35962818
11/1/16,27.0869704
12/1/16,26.7728412
1/1/17,26.52415207
2/1/17,26.3218165
3/1/17,26.12564406
4/1/17,25.99930614
5/1/17,25.98952862
6/1/17,26.00104462
7/1/17,26.01190452
8/1/17,26.0396085
9/1/17,26.08275452
10/1/17,26.10839714
11/1/17,26.16282906
12/1/17,26.16303434
1/1/18,26.07663793
2/1/18,25.95336169
3/1/18,25.88804256
4/1/18,25.80987341
5/1/18,25.73468957
6/1/18,25.69940491
7/1/18,25.6781281
8/1/18,25.68548885
9/1/18,25.72093836
10/1/18,25.75416659
11/1/18,25.80768985
12/1/18,25.9202005
1/1/19,26.05005192
2/1/19,26.16739718
3/1/19,26.34476449
4/1/19,26.49644058
5/1/19,26.64366001
6/1/19,26.79587767
7/1/19,26.94673019
8/1/19,27.1013499
9/1/19,27.25240252
10/1/19,27.44740991
11/1/19,27.64253902
12/1/19,27.87182399
1/1/20,28.16205412
2/1/20,28.4732527
3/1/20,28.75011485
4/1/20,29.05951313
5/1/20,29.34957651
6/1/20,29.61268897
7/1/20,29.87885371
8/1/20,30.13622395
9/1/20,30.35433979
10/1/20,30.56073691
11/1/20,30.73881254
12/1/20,30.88955576
1/1/21,31.04617343
2/1/21,31.22920149
3/1/21,31.37909367
4/1/21,31.52668309
5/1/21,31.61549491
6/1/21,31.67473249
7/1/21,31.72094387
8/1/21,31.75423286
9/1/21,31.77792083
10/1/21,31.80051369
11/1/21,31.8126373
12/1/21,31.81044818
1/1/22,31.80236065
2/1/22,31.75748976
3/1/22,31.67366884
4/1/22,31.5537574
5/1/22,31.46693657
6/1/22,31.38012752
7/1/22,31.27136921
8/1/22,31.15133892
9/1/22,31.0293566
10/1/22,30.91825108
11/1/22,30.81444253
12/1/22,30.72150902
1/1/23,30.62765229
2/1/23,30.52590901
3/1/23,30.47696626
4/1/23,30.43977916
5/1/23,30.43106799
6/1/23,30.45657975
7/1/23,30.49258729
8/1/23,30.52930039
9/1/23,30.57469813
10/1/23,30.60803663
11/1/23,30.65756788
12/1/23,30.73347684
1/1/24,30.84121214
2/1/24,31.02042494
3/1/24,31.23557287
4/1/24,31.49073676
5/1/24,31.75209444
6/1/24,32.02749341
7/1/24,32.32818349
8/1/24,32.6476751
9/1/24,32.9727757
10/1/24,33.30339433
11/1/24,33.66642325
12/1/24,34.0538488
1/1/25,34.46625135
2/1/25,34.91311504
3/1/25,35.36713686
4/1/25,35.83265468
5/1/25,36.30755024
6/1/25,36.77327047
7/1/25,37.23814546
8/1/25,37.70505593
9/1/25,38.16190907
10/1/25,38.60816313
11/1/25,39.05766967
12/1/25,39.51879917
1/1/26,39.98428224
2/1/26,40.44680362
3/1/26,40.91908145
4/1/26,41.3817929
5/1/26,41.83434825
6/1/26,42.27694644
7/1/26,42.70978248
8/1/26,43.13304756
9/1/26,43.54692915
10/1/26,43.95161101
11/1/26,44.34727332
12/1/26,44.73409275
1/1/27,45.11224252
2/1/27,45.4818924
3/1/27,45.84320881
4/1/27,46.1963548
5/1/27,46.54149019
6/1/27,46.87877161
7/1/27,47.20835258
8/1/27,47.53038356
9/1/27,47.84501202
10/1/27,48.15238252
11/1/27,48.45263674
12/1/27,48.74591358
1/1/28,49.03234918
2/1/28,49.31207701
3/1/28,49.58522788
4/1/28,49.85193005
5/1/28,50.11230927
6/1/28,50.3664888
7/1/28,50.61458949
8/1/28,50.85672981
9/1/28,51.09302595
10/1/28,51.32359179
11/1/28,51.54853901
12/1/28,51.7679771
1/1/29,51.98201342
2/1/29,52.19075327
3/1/29,52.39429985
4/1/29,52.59275441
5/1/29,52.7862162
6/1/29,52.97478258
7/1/29,53.15854899
8/1/29,53.33760905
9/1/29,53.51205458
10/1/29,53.6819756
11/1/29,53.84746042
12/1/29,54.00859565
1/1/30,54.16546621
2/1/30,54.31815543
3/1/30,54.46674499
4/1/30,54.61131506
5/1/30,54.75194423
6/1/30,54.88870961
7/1/30,55.02168682
8/1/30,55.15095006
9/1/30,55.27657208
10/1/30,55.39862428
11/1/30,55.51717667
12/1/30,55.63229795
1/1/31,55.74405549
2/1/31,55.85251541
3/1/31,55.95774256
4/1/31,56.05980054
5/1/31,56.15875178
6/1/31,56.25465751
7/1/31,56.34757781
8/1/31,56.4375716
9/1/31,56.52469672
10/1/31,56.6090099
11/1/31,56.6905668
12/1/31,56.76942204
1/1/32,56.8456292
2/1/32,56.91924087
3/1/32,56.99030863
4/1/32,57.05888309
5/1/32,57.12501394
6/1/32,57.18874991
7/1/32,57.25013881
8/1/32,57.30922758
9/1/32,57.36606227
10/1/32,57.42068805
11/1/32,57.47314928
12/1/32,57.52348946
1/1/33,57.57175128
2/1/33,57.61797666
3/1/33,57.66220671
4/1/33,57.70448178
5/1/33,57.74484148
6/1/33,57.78332466
7/1/33,57.81996946
8/1/33,57.85481331
9/1/33,57.88789294
10/1/33,57.91924441
11/1/33,57.94890309
12/1/33,57.9769037
1/1/34,58.00328031
2/1/34,58.02806638
3/1/34,58.05129472
4/1/34,58.07299755
5/1/34,58.09320649
6/1/34,58.11195257
