Date,2060 rf Index (in)
6/1/14,39.84216721
7/1/14,39.48958579
8/1/14,39.15790052
9/1/14,38.87586264
10/1/14,38.60312312
11/1/14,38.26530398
12/1/14,37.89820255
1/1/15,37.50043534
2/1/15,37.07130805
3/1/15,36.48105996
4/1/15,35.87669189
5/1/15,35.24305537
6/1/15,34.61620491
7/1/15,34.02419101
8/1/15,33.43888806
9/1/15,32.8853134
10/1/15,32.34392151
11/1/15,31.86236847
12/1/15,31.44071719
1/1/16,31.08624046
2/1/16,30.78696937
3/1/16,30.5225011
4/1/16,30.26022386
5/1/16,29.98071671
6/1/16,29.68483953
7/1/16,29.40085233
8/1/16,29.08472444
9/1/16,28.80210377
10/1/16,28.50746004
11/1/16,28.23205154
12/1/16,27.91509383
1/1/17,27.66350069
2/1/17,27.45818688
3/1/17,27.25896328
4/1/17,27.12950315
5/1/17,27.11653457
6/1/17,27.12479252
7/1/17,27.13232943
8/1/17,27.15664779
9/1/17,27.19634733
10/1/17,27.21848435
11/1/17,27.26935352
12/1/17,27.26594105
1/1/18,27.17587374
2/1/18,27.04887504
3/1/18,26.9797837
4/1/18,26.89779437
5/1/18,26.81874386
6/1/18,26.77954753
7/1/18,26.7543155
8/1/18,26.7576789
9/1/18,26.78909034
10/1/18,26.81824154
11/1/18,26.86765074
12/1/18,26.97601216
1/1/19,27.10168079
2/1/19,27.21481128
3/1/19,27.38793319
4/1/19,27.53533458
5/1/19,27.67825127
6/1/19,27.8261394
7/1/19,27.97263651
8/1/19,28.12287574
9/1/19,28.26952407
10/1/19,28.46010452
11/1/19,28.65078523
12/1/19,28.87560128
1/1/20,29.16134294
2/1/20,29.46803459
3/1/20,29.7403724
4/1/20,30.04522999
5/1/20,30.33073734
6/1/20,30.58927944
7/1/20,30.85086043
8/1/20,31.1036345
9/1/20,31.31714265
10/1/20,31.51892142
11/1/20,31.69236878
12/1/20,31.83847444
1/1/21,31.99044602
2/1/21,32.16882012
3/1/21,32.31405131
4/1/21,32.45697336
5/1/21,32.54111208
6/1/21,32.59567159
7/1/21,32.63720069
8/1/21,32.66580389
9/1/21,32.68480329
10/1/21,32.70270547
11/1/21,32.71013695
12/1/21,32.7032549
1/1/22,32.6904743
2/1/22,32.64091078
3/1/22,32.55239828
4/1/22,32.4277969
5/1/22,32.33628831
6/1/22,32.24479427
7/1/22,32.13135424
8/1/22,32.00664602
9/1/22,31.87999008
10/1/22,31.76421564
11/1/22,31.65574325
12/1/22,31.55815138
1/1/23,31.45964221
2/1/23,31.35325287
3/1/23,31.29967086
4/1/23,31.25785172
5/1/23,31.24451617
6/1/23,31.26541156
7/1/23,31.29681115
8/1/23,31.32892509
9/1/23,31.36973282
10/1/23,31.39849081
11/1/23,31.44345139
12/1/23,31.51479985
1/1/24,31.61798514
2/1/24,31.79265871
3/1/24,32.00327857
4/1/24,32.25392584
5/1/24,32.51077872
6/1/24,32.78171525
7/1/24,33.07801453
8/1/24,33.39321497
9/1/24,33.71415082
10/1/24,34.04075672
11/1/24,34.39994939
12/1/24,34.7837385
1/1/25,35.19272673
2/1/25,35.63641951
3/1/25,36.08753416
4/1/25,36.55042801
5/1/25,37.02300134
6/1/25,37.48671879
7/1/25,37.94992733
8/1/25,38.41552374
9/1/25,38.87143057
10/1/25,39.3171206
11/1/25,39.76645926
12/1/25,40.22783018
1/1/26,40.69397645
2/1/26,41.15759464
3/1/26,41.63141406
4/1/26,42.09612243
5/1/26,42.55114003
6/1/26,42.99665043
7/1/26,43.43283376
8/1/26,43.85986679
9/1/26,44.27792295
10/1/26,44.68717245
11/1/26,45.08778227
12/1/26,45.47991631
1/1/27,45.86373538
2/1/27,46.23939724
3/1/27,46.60705655
4/1/27,46.96686497
5/1/27,47.31897122
6/1/27,47.6635211
7/1/27,48.00065761
8/1/27,48.33052098
9/1/27,48.6532487
10/1/27,48.96897562
11/1/27,49.27783399
12/1/27,49.57995352
1/1/28,49.8754614
2/1/28,50.16448238
3/1/28,50.44713884
4/1/28,50.72355077
5/1/28,50.99383591
6/1/28,51.2581097
7/1/28,51.51648542
8/1/28,51.76907416
9/1/28,52.01598489
10/1/28,52.25732452
11/1/28,52.49319793
12/1/28,52.72370799
1/1/29,52.94895564
2/1/29,53.16903989
3/1/29,53.38405788
4/1/29,53.59410492
5/1/29,53.79927452
6/1/29,53.99965843
7/1/29,54.19534665
8/1/29,54.38642751
9/1/29,54.57298766
10/1/29,54.75511215
11/1/29,54.93288442
12/1/29,55.10638632
1/1/30,55.27569822
2/1/30,55.44089895
3/1/30,55.60206588
4/1/30,55.75927492
5/1/30,55.9126006
6/1/30,56.06211603
7/1/30,56.20789297
8/1/30,56.35000186
9/1/30,56.4885118
10/1/30,56.62349064
11/1/30,56.75500496
12/1/30,56.8831201
1/1/31,57.00790021
2/1/31,57.12940823
3/1/31,57.24770597
4/1/31,57.36285407
5/1/31,57.47491206
6/1/31,57.58393839
7/1/31,57.68999041
8/1/31,57.79312444
9/1/31,57.89339575
10/1/31,57.99085859
11/1/31,58.08556624
12/1/31,58.17757099
1/1/32,58.26692416
2/1/32,58.35367615
3/1/32,58.43787643
4/1/32,58.51957357
5/1/32,58.59881526
6/1/32,58.6756483
7/1/32,58.75011866
8/1/32,58.82227145
9/1/32,58.892151
10/1/32,58.95980078
11/1/32,59.02526351
12/1/32,59.08858112
1/1/33,59.14979478
2/1/33,59.20894492
3/1/33,59.26607123
4/1/33,59.32121267
5/1/33,59.37440752
6/1/33,59.42569336
7/1/33,59.47510708
8/1/33,59.52268491
9/1/33,59.56846244
10/1/33,59.61247458
11/1/33,59.65475566
12/1/33,59.69533935
1/1/34,59.73425873
2/1/34,59.7715463
3/1/34,59.80723395
4/1/34,59.841353
5/1/34,59.87393422
6/1/34,59.90500782
